cell cycle,white,green (S/G2),round (M),censoring,
14.5,7,7,0.5,,
15.75,6,9.25,0.5,,
14.5,5.25,8.75,0.5,,
14.25,5.75,8,0.5,,
12,4.75,6.75,0.5,,
12.25,5,6.75,0.5,,
13.5,6,7,0.5,,
14.5,7,7,0.5,,
14.5,5.75,8.25,0.5,,
14,6.25,7.25,0.5,,
18.75,9,9.25,0.5,,
19.75,9.5,9.5,0.75,,
13,5.5,6.75,0.75,,
12.5,5,7,0.5,,
14.75,7,7.25,0.5,,
14.75,7.5,6.5,0.75,,
15.75,8.75,6.5,0.5,,
17.75,9.5,7.75,0.5,,
18.75,7.25,11,0.5,,26.6a Scene 1
16.75,5.25,10.75,0.75,,
13.75,5.5,7.75,0.5,,
18.25,7,10.75,0.5,,
16.5,6.5,9.5,0.5,,
15,5.25,9,0.75,,
26,12.25,12.75,1,,
22.5,9.75,11.75,1,,
23.5,9.75,13.25,0.5,,
19.5,8.25,10.75,0.5,,
22.5,10.75,11,0.75,,
15.75,6.5,8.5,0.75,,
15,5.75,8.75,0.5,,
15.5,6.5,8.5,0.5,,
34.25,13,20.5,0.75,,
17.25,7.5,9,0.75,,
19.5,9,10,0.5,,
,22.75,-30.75,0,37.25,
17.75,7.25,10,0.5,,26.6a Scene 2
14.5,5.75,8,0.75,,
14.5,6.5,7.25,0.75,,
18.25,8,9.5,0.75,,
15.25,6.75,8,0.5,,
15.75,6.75,8.5,0.5,,
18.5,9.75,8,0.75,,
16.75,7.25,9,0.5,,
,16,-21.25,0,40,
16.25,8,7.5,0.75,,
21,9.25,11,0.75,,26.6a Scene 3
14.75,7.25,6.75,0.75,,
13,7.5,5.25,0.25,,
12.75,6.75,5.5,0.5,,
14,7,6.5,0.5,,
16.75,7.75,8.25,0.75,,
14.25,7.25,6.5,0.5,,
13.5,5.25,7.75,0.5,,
15.25,7.75,6.75,0.75,,
13.75,6.75,6.25,0.75,,
14.75,7.5,6.75,0.5,,
13.25,5.25,7.5,0.5,,
17.75,9,7.75,1,,
21.5,10.5,10.25,0.75,,
18.25,8,9.5,0.75,,
17.25,7.25,9.5,0.5,,
23,10.75,11.5,0.75,,
19.25,8.25,10.25,0.75,,
16.5,7.25,8.5,0.75,,
17.75,8.5,8.75,0.5,,
13.75,6.5,6.75,0.5,,
32.25,14.75,16.5,1,,26.6a Scene 4
22.75,10.75,11.25,0.75,,
14.75,7.75,6.5,0.5,,
42.25,20,21.25,1,,
16,7.5,8,0.5,,
16.5,6.5,9.25,0.75,,
